id,subject,content,options,correct_answer,explanation,habilidad,difficulty,created_at,active,area_tematica,tema,subtema
"M1_006","M1","¿Cuál es el resultado de simplificar la fracción 24/36?","{""a"":""1/2"",""b"":""2/3"",""c"":""3/4"",""d"":""5/6""}","b","Para simplificar 24/36, dividimos numerador y denominador por su máximo común divisor (12): 24÷12/36÷12 = 2/3","undefined","1","2025-03-22T18:07:00.845960","true","undefined","undefined","undefined"
"M1_007","M1","Si un producto cuesta $5.000 y se le aplica un 20% de descuento, ¿cuál es el precio final?","{""a"":""$3.000"",""b"":""$3.500"",""c"":""$4.000"",""d"":""$4.500""}","c","20% de $5.000 = $1.000 (descuento). Precio final = $5.000 - $1.000 = $4.000","undefined","1","2025-03-22T18:07:00.845961","true","undefined","undefined","undefined"
"M1_008","M1","¿Cuál es el perímetro de un rectángulo de base 8 cm y altura 5 cm?","{""a"":""13 cm"",""b"":""26 cm"",""c"":""40 cm"",""d"":""52 cm""}","b","El perímetro de un rectángulo es 2(base + altura) = 2(8 + 5) = 2(13) = 26 cm","undefined","1","2025-03-22T18:07:00.845962","true","undefined","undefined","undefined"
"M1_009","M1","¿Cuál es el valor de x en la ecuación 2(x + 3) = 14?","{""a"":""4"",""b"":""5"",""c"":""6"",""d"":""7""}","a","Primero distribuimos: 2x + 6 = 14, luego restamos 6 a ambos lados: 2x = 8, finalmente dividimos por 2: x = 4","undefined","1","2025-03-22T18:07:00.845963","true","undefined","undefined","undefined"
"M1_010","M1","¿Cuál es el resultado de (2/5) × (15/8)?","{""a"":""3/4"",""b"":""3/8"",""c"":""3/2"",""d"":""3/5""}","a","(2/5) × (15/8) = (2×15)/(5×8) = 30/40 = 3/4","undefined","1","2025-03-22T18:07:00.845964","true","undefined","undefined","undefined"
"M1_011","M1","¿Cuál es el valor de 2³ × 2⁴?","{""a"":""64"",""b"":""128"",""c"":""256"",""d"":""512""}","b","2³ × 2⁴ = 2³⁺⁴ = 2⁷ = 128","undefined","1","2025-03-22T18:07:00.845965","true","undefined","undefined","undefined"
"M1_012","M1","En una tienda, un producto aumentó su precio en un 30%. Si el precio final es $26.000, ¿cuál era el precio inicial?","{""a"":""$18.200"",""b"":""$19.000"",""c"":""$20.000"",""d"":""$22.000""}","c","Si 130% corresponde a $26.000, entonces 100% (precio inicial) = $26.000 ÷ 1,3 = $20.000","undefined","1","2025-03-22T18:07:00.845966","true","undefined","undefined","undefined"
"M1_013","M1","¿Cuál es el área de un círculo de radio 4 cm?","{""a"":""16π cm²"",""b"":""25π cm²"",""c"":""36π cm²"",""d"":""49π cm²""}","a","El área de un círculo es πr², donde r es el radio. Por lo tanto, A = π(4)² = 16π cm²","undefined","1","2025-03-22T18:07:00.845967","true","undefined","undefined","undefined"
"M1_014","M1","¿Cuál es la mediana del conjunto de números: 3, 7, 8, 12, 15?","{""a"":""7"",""b"":""8"",""c"":""9"",""d"":""12""}","b","En un conjunto ordenado con cantidad impar de números, la mediana es el valor central. En este caso es 8","undefined","1","2025-03-22T18:07:00.845968","true","undefined","undefined","undefined"
"M1_015","M1","Si 3x - 2 > 7, ¿cuál es el conjunto solución?","{""a"":""x > 3"",""b"":""x < 3"",""c"":""x > 2"",""d"":""x < 2""}","a","3x - 2 > 7 → 3x > 9 → x > 3","undefined","1","2025-03-22T18:07:00.845969","true","undefined","undefined","undefined"
